,brandName,price,engine,pradesh,lotNumber,mileage,kmRun,makeYear
60,Bajaj,142000,150,Bagmati,92,45,25000,2017
61,Hero,95000,125,Bagmati,88,55,28000,2017
62,Honda,95000,125,Bagmati,60,45,25000,2013
63,Yamaha,105000,125,Bagmati,81,45,25000,2016
64,Yamaha,110000,150,Bagmati,74,40,25000,2016
65,Honda,310000,150,Bagmati,99,40,25000,2018
66,Honda,165000,110,Bagmati,116,40,13000,2019
67,Aprilia,230000,125,Gandaki,22,30,2602,2021
68,Hero,275000,200,Bagmati,139,40,13000,2020
69,Bajaj,55000,135,Bagmati,32,50,8000,2010
70,Bajaj,135000,125,Bagmati,113,50,7000,2019
71,Bajaj,135000,150,Bagmati,99,40,14000,2018
72,Bajaj,285000,200,Bagmati,126,40,7000,2021
73,KTM,390000,200,Bagmati,123,30,8000,2021
74,Honda,96000,110,Bagmati,75,40,33000,2016
75,Honda,117000,110,Bagmati,86,35,24000,2017
76,Honda,185000,125,Bagmati,124,25,14000,2021
77,Bajaj,260000,200,Bagmati,122,30,16000,2020
78,TVS,148000,125,Bagmati,105,35,20000,2019
79,Yamaha,235000,125,Bagmati,105,45,20000,2019
80,Bajaj,255000,200,Bagmati,119,35,10500,2020
81,Royal Enfield,339000,200,Bagmati,83,35,23000,2017
82,Aprilia,220000,150,Bagmati,123,30,5500,2021
83,Yamaha,70000,150,Bagmati,82,45,5500,2017
84,KTM,295000,200,Bagmati,92,32,45000,2018
85,Yamaha,178000,150,Bagmati,97,45,12200,2018
86,Hero,79000,110,Bagmati,73,35,12200,2016
87,TVS,175000,160,Bagmati,112,42,14500,2019
88,Royal Enfield,449000,350,Bagmati,111,30,15000,2019
89,Hero,58000,110,Bagmati,47,45,15000,2010
90,Honda,137000,160,Bagmati,75,35,25000,2017
91,Vespa,135000,125,Bagmati,67,35,20000,2015
92,Yamaha,175000,125,Bagmati,125,45,11114,2020
93,Honda,80000,150,Bagmati,53,40,45000,2012
94,KTM,490000,200,Bagmati,135,35,8000,2022
95,Honda,190000,110,Bagmati,29,45,1300,2021
96,Bajaj,230000,150,Bagmati,128,45,13000,2021
97,Hero,170000,125,Bagmati,132,50,11500,2021
98,Aprilia,205000,125,2,132,33,8000,2021
99,Honda,110000,150,Bagmati,69,45,31500,2016
100,Bajaj,220000,200,Bagmati,114,35,14500,2019
101,Royal Enfield,370000,350,Bagmati,90,30,32000,2018
102,Bajaj,130000,220,Bagmati,73,30,34520,2016
103,Honda,190000,250,Bagmati,128,40,6000,2021
104,Bajaj,218000,200,Bagmati,111,35,15250,2019
105,TVS,210000,125,Bagmati,134,50,5000,2021
106,Honda,83000,110,Bagmati,54,40,35000,2012
107,Royal Enfield,480000,350,Bagmati,113,30,20000,2019
108,Honda,43000,110,Bagmati,40,30,30000,2010
109,TVS,143000,200,Bagmati,96,35,25000,2018
110,Honda,755000,250,Bagmati,56,28,18000,2014
111,Bajaj,260000,220,Bagmati,27,40,10000,2021
112,Honda,100000,110,Bagmati,77,35,30000,2016
113,Bajaj,280000,200,1,44,35,14000,2021
114,Yamaha,227000,150,Bagmati,125,45,13000,2021
115,Bajaj,210000,220,Bagmati,104,38,24800,2019
116,KTM,660000,250,Bagmati,21,32,2350,2021
117,Royal Enfield,530000,350,Bagmati,32,32,6800,2022
118,Bajaj,85000,150,Koshi,33,40,40000,2015
119,Hero,270000,200,Bagmati,17,30,6700,2020
120,Yamaha,300000,150,Bagmati,32,48,11000,2021
121,Bajaj,170000,200,Bagmati,99,35,34000,2018
122,Yamaha,223000,150,Bagmati,111,45,22000,2019
123,Honda,100000,110,Bagmati,69,30,38000,2015
124,Bajaj,158000,200,Bagmati,90,35,18000,2017
125,Bajaj,40000,180,Bagmati,37,36,55000,2009
126,Yamaha,85000,110,Bagmati,78,35,22000,2016
127,Bajaj,160000,110,Bagmati,95,35,22000,2017
128,Bajaj,350000,200,2,120,30,7500,2021
129,Hero,250000,200,Bagmati,111,40,10600,2019
130,Royal Enfield,297000,350,Bagmati,78,40,28000,2019
131,Yamaha,135000,150,Bagmati,78,40,22000,2018
132,Honda,110000,150,Bagmati,66,50,44000,2014
133,Yamaha,180000,250,Bagmati,88,35,50000,2018
134,Vespa,190000,125,Bagmati,52,35,13000,2019
135,Yamaha,110000,150,Bagmati,63,35,21000,2014
136,Royal Enfield,315000,350,Bagmati,70,35,44000,2015
137,Bajaj,125000,150,Bagmati,84,40,34000,2018
138,Bajaj,225000,220,Bagmati,114,40,20000,2020
139,Yamaha,216000,250,Bagmati,88,40,18000,2017
140,Benelli,226000,150,Bagmati,115,40,8000,2020
141,Bajaj,280000,220,Bagmati,126,40,8000,2021
142,Honda,55000,100,Bagmati,45,50,28000,2005
143,Crossfire,430000,250,Bagmati,97,25,17000,2019
144,Bajaj,140000,150,Bagmati,86,35,43000,2017
145,Honda,112000,110,Bagmati,85,45,26000,2017
146,Honda,112000,110,Bagmati,85,45,30000,2017
147,Yamaha,39000,110,Bagmati,38,65,35000,2010
148,Honda,59000,125,Bagmati,32,75,36000,2009
149,Hero,49000,100,Bagmati,40,75,36000,2010
150,Yamaha,444000,155,Bagmati,134,45,3400,2022
151,Honda,110000,160,Bagmati,85,35,50000,2017
152,Yamaha,184999,150,Bagmati,101,45,17300,2018
153,Yamaha,194000,125,Bagmati,121,45,9000,2020
154,Yamaha,359000,155,Bagmati,129,55,4700,2021
155,TVS,185000,125,Bagmati,120,45,12000,2020
156,Honda,169000,110,Bagmati,16,40,18000,2019
157,Bajaj,160000,200,Bagmati,92,30,21000,2018
158,Royal Enfield,680000,350,Bagmati,31,35,3000,2021
159,Yamaha,105000,110,Bagmati,93,35,12000,2017
160,Aprilia,145000,150,Bagmati,85,40,33670,2016
161,Honda,80000,110,Bagmati,53,30,28000,2012
163,Yamaha,175000,150,Bagmati,98,40,29000,2018
164,Yamaha,168000,150,Bagmati,93,50,31000,2017
165,Bajaj,165000,200,Bagmati,92,40,27000,2019
166,Yamaha,220000,150,Bagmati,111,50,40000,2020
167,Bajaj,44000,125,Bagmati,25,45,35000,2007
168,Bajaj,168000,150,Bagmati,107,45,12800,2019
169,Bajaj,148000,150,Bagmati,99,45,18500,2018
170,Aprilia,158000,150,Bagmati,95,30,12400,2018
171,Crossfire,615000,250,Bagmati,26,20,4500,2021
172,TVS,60000,180,Bagmati,46,40,36000,2014
173,Honda,389000,150,Seti,8,49,21374,2020
174,Yamaha,210000,125,Bagmati,104,35,9500,2019
175,Yamaha,55000,125,Bagmati,22,40,63000,2005
176,Suzuki,120000,155,Bagmati,70,40,23000,2015
177,Bajaj,213000,220,Bagmati,111,35,16050,2019
178,Honda,97900,100,Bagmati,61,35,31000,2014
179,Honda,115000,110,Bagmati,75,27,29213,2016
180,Bajaj,180000,200,Bagmati,106,27,27000,2019
181,Suzuki,80000,155,Bagmati,64,40,55000,2014
182,TVS,205000,125,Bagmati,18,32,13500,2021
183,Royal Enfield,377000,350,Bagmati,94,30,17000,2018
184,Honda,132000,110,Bagmati,93,35,17000,2018
185,Honda,125000,160,Bagmati,77,40,17000,2015
186,Suzuki,950000,600,Bagmati,55,20,25000,2009
187,Bajaj,490000,400,Bagmati,31,22,10800,2022
188,Bajaj,550000,400,Bagmati,133,25,2200,2022
189,Royal Enfield,270000,400,Bagmati,102,20,20000,2013
190,TVS,170000,200,Bagmati,83,33,40000,2016
191,Yamaha,270000,150,Bagmati,31,50,19000,2021
192,Yamaha,130000,150,Bagmati,73,40,53000,2017
193,Bajaj,110000,220,Bagmati,80,30,36000,2016
194,Bajaj,265000,200,Bagmati,125,35,16000,2018
195,Royal Enfield,400000,400,Bagmati,79,23,22000,2017
196,Vespa,320000,150,3,125,30,11000,2019
197,Yamaha,300000,150,Bagmati,22,45,3500,2020
198,Yamaha,225000,150,Bagmati,122,45,23000,2019
199,Royal Enfield,330000,350,Bagmati,87,32,36000,2017
200,Bajaj,110000,200,Bagmati,54,35,3900,2014
201,Bajaj,212000,220,Bagmati,116,40,13000,2020
202,Bajaj,229000,220,Bagmati,116,35,19800,2020
203,KTM,260000,200,Bagmati,82,30,32000,2016
204,Royal Enfield,475000,350,1,41,35,14000,2020
205,Bajaj,75000,150,Bagmati,52,40,50000,2012
206,Honda,75000,125,Bagmati,47,75,30000,2011
207,Honda,95000,125,Bagmati,83,45,25000,2017
208,Yamaha,280000,150,Bagmati,119,43,34000,2020
209,Honda,189000,110,Bagmati,129,40,2500,2021
210,Aprilia,205000,150,3,119,30,7000,2020
211,Yamaha,185000,150,Bagmati,91,40,28000,2017
212,Yamaha,28000,125,Bagmati,13,50,50000,2005
213,KTM,560000,250,Bagmati,23,22,10000,2021
214,Benelli,490000,300,Bagmati,96,30,24000,2018
215,Honda,180000,110,Bagmati,116,30,10000,2020
216,Yamaha,90000,150,Bagmati,59,40,42000,2013
217,Benelli,420000,300,Bagmati,92,22,40000,2015
218,Hero,95000,110,Bagmati,103,55,10000,2018
219,Yamaha,70000,110,Bagmati,67,30,38000,2014
220,Royal Enfield,610000,350,Bagmati,123,35,8000,2021
221,Hero,57000,100,Bagmati,52,30,38000,2012
222,Bajaj,240000,150,Bagmati,32,50,3000,2021
223,Honda,95000,160,Bagmati,69,45,27000,2015
224,Yamaha,200000,150,Sagarmatha,9,50,42000,2017
225,Yamaha,190000,125,Bagmati,121,50,15000,2020
226,Bajaj,135000,200,Bagmati,63,45,35000,2014
227,Honda,100000,125,Bagmati,86,40,14000,2017
228,Honda,630000,190,Bagmati,126,40,7000,2021
229,Yamaha,380000,155,Bagmati,27,55,21000,2021
230,Bajaj,145000,150,Bagmati,90,47,30290,2017
231,TVS,195000,160,Gandaki,16,45,30290,2018
232,Bajaj,158000,200,Bagmati,90,30,35000,2017
233,Hero,72000,110,Bagmati,72,35,34000,2016
234,Honda,125000,110,Bagmati,96,40,34000,2018
235,Honda,125000,125,Bagmati,79,45,26000,2016
236,Bajaj,115000,150,Bagmati,73,40,29000,2016
237,Bajaj,170000,200,Bagmati,99,35,34000,2018
238,Hero,85000,125,Bagmati,51,50,28000,2012
239,Bajaj,115000,220,Bagmati,65,35,57000,2014
240,Yamaha,89000,110,Bagmati,73,40,26000,2017
241,Royal Enfield,490000,110,Bagmati,111,32,26000,2020
242,KTM,380000,250,Bagmati,99,25,18000,2018
243,Bajaj,100000,150,Bagmati,81,40,11000,2016
244,Honda,160000,110,Bagmati,102,35,12000,2018
245,Royal Enfield,620000,350,Bagmati,135,35,1500,2021
246,Honda,143500,110,Bagmati,94,36,14000,2018
247,Honda,185000,125,Bagmati,131,40,7000,2021
248,Bajaj,140000,200,Bagmati,77,40,33000,2017
249,Benelli,420000,300,Bagmati,29,22,39000,2017
250,Bajaj,80000,150,Bagmati,61,40,51000,2014
251,Honda,153000,110,Bagmati,105,45,11700,2019
252,Yamaha,235000,150,Bagmati,105,45,19000,2019
253,Honda,182000,110,Bagmati,124,45,10050,2021
254,Bajaj,40000,125,Bagmati,42,48,25000,2010
255,Honda,145000,125,Bagmati,104,35,15000,2018
256,KTM,479000,200,Bagmati,118,45,15000,2020
257,Yamaha,200000,150,Mechi,8,50,31000,2017
258,TVS,223500,200,Bagmati,113,34,16000,2020
259,Benelli,353000,300,Bagmati,80,25,29000,2016
260,Royal Enfield,470000,350,Bagmati,121,30,10321,2021
261,Royal Enfield,725000,350,Bagmati,32,32,4000,2021
262,Royal Enfield,295000,350,Bagmati,63,35,28000,2014
263,Bajaj,155000,150,Bagmati,99,40,31000,2018
264,Honda,62000,150,Bagmati,31,40,52000,2008
265,Honda,78000,150,Bagmati,57,40,32000,2013
266,Crossfire,350000,250,Bagmati,19,20,8200,2019
267,Bajaj,73000,125,Bagmati,53,45,34000,2013
268,Honda,113000,110,Bagmati,73,30,20000,2016
269,KTM,255000,200,Bagmati,78,30,27000,2016
270,Yamaha,165000,150,Bagmati,96,37,26200,2018
271,Hero,75000,125,Bagmati,51,65,35000,2012
272,Honda,310000,250,Bagmati,66,25,22000,2014
273,Hero,55000,150,Bagmati,52,47,39000,2012
274,Hero,63000,100,Bagmati,53,75,33000,2013
275,Bajaj,335000,200,Bagmati,33,35,6500,2021
276,Honda,77000,150,Bagmati,61,47,36000,2014
277,Honda,75000,125,Bagmati,47,75,30000,2011
278,Bajaj,95000,150,Bagmati,104,36,37000,2015
279,Hero,295000,200,Bagmati,117,40,10000,2020
280,TVS,148000,125,Bagmati,105,35,20000,2019
281,TVS,148000,125,Bagmati,105,35,20000,2018
282,Yamaha,78000,125,Bagmati,65,35,1554,2015
283,Bajaj,175000,220,Bagmati,90,35,21000,2017
284,Aprilia,168000,150,Bagmati,104,35,21000,2018
285,Bajaj,290000,200,Bagmati,131,40,11000,2021
286,Yamaha,125000,150,Bagmati,67,40,27000,2015
287,Royal Enfield,410000,350,Bagmati,103,35,26500,2018
288,Honda,50000,125,Bagmati,35,40,50000,2009
289,Bajaj,135000,200,Bagmati,69,35,28000,2015
290,Hero,132000,125,Bagmati,101,45,23000,2018
291,TVS,169000,200,Bagmati,102,38,23000,2019
292,Honda,108000,110,Bagmati,69,38,18000,2015
293,Yamaha,245000,150,Bagmati,120,45,8424,2020
294,Yamaha,260000,150,Bagmati,122,40,5490,2021
295,Honda,180000,110,Bagmati,122,35,12800,2021
296,Bajaj,133000,150,Bagmati,81,35,33000,2018
297,Honda,54000,110,Bagmati,45,30,32000,2011
298,Hero,63500,150,Bagmati,36,50,37560,2010
299,KTM,298000,200,Bagmati,89,30,16000,2017
300,Bajaj,43500,125,Bagmati,20,50,37560,2006
301,Hartford,368000,220,Bagmati,121,35,9000,2020
302,TVS,135000,200,Bagmati,139,35,25000,2016
303,Bajaj,255000,200,Bagmati,117,38,11000,2020
304,KTM,380000,250,Bagmati,95,28,23000,2019
305,Honda,85000,125,Bagmati,48,50,50000,2013
306,Yamaha,320000,150,Bagmati,132,45,3800,2021
307,Bajaj,200000,150,Bagmati,106,45,21000,2019
308,Vespa,265000,150,Bagmati,18,40,8150,2018
309,Yamaha,450000,155,Bagmati,134,40,8150,2022
310,Honda,88999,110,Bagmati,61,35,22900,2013
311,Yamaha,290000,150,Bagmati,134,45,8000,2021
312,Bajaj,310000,250,Bagmati,22,30,22500,2021
313,Bajaj,115000,160,Bagmati,90,45,36000,2017
314,Bajaj,160000,200,Bagmati,85,32,24123,2017
315,Honda,165000,160,Bagmati,114,55,15000,2020
316,Vespa,155000,125,Bagmati,89,35,11000,2018
317,Yamaha,190000,125,Bagmati,120,30,10000,2021
318,Yamaha,115000,150,Bagmati,69,45,75000,2015
319,Benelli,825000,300,Bagmati,29,24,1000,2021
320,KTM,385000,250,Bagmati,97,29,2100,2018
321,Yamaha,459000,150,Bagmati,28,42,8000,2021
322,Honda,60000,125,3,25,45,48512,2007
323,Aprilia,225000,155,Bagmati,117,25,15000,2019
324,KTM,255000,200,Bagmati,76,30,28000,2016
325,Bajaj,239900,200,Bagmati,114,35,22000,2020
326,TVS,190000,200,Bagmati,101,29,24000,2018
327,Hero,130000,125,Bagmati,98,40,5067,2019
328,Honda,99999,110,3,52,40,27000,2012
329,Bajaj,110000,150,Bagmati,65,35,42000,2014
330,Bajaj,148000,150,Bagmati,103,35,8000,2018
331,Honda,90000,150,Bagmati,69,45,28000,2016
332,Yamaha,72000,115,Bagmati,66,45,16000,2014
333,Honda,480000,115,Bagmati,103,45,14000,2019
334,Hero,98000,110,Bagmati,91,40,25000,2017
335,Yamaha,199999,150,Bagmati,107,40,22000,2019
336,Crossfire,380000,250,Bagmati,107,25,16000,2019
337,Hero,79000,125,Bagmati,75,39,23000,2016
338,Honda,169000,110,Bagmati,109,45,13000,2019
339,Bajaj,155000,200,Bagmati,86,30,13000,2017
340,Royal Enfield,365000,350,Bagmati,82,32,41000,2017
341,Crossfire,200000,250,Bagmati,71,30,25000,2015
342,Hero,76000,110,Bagmati,76,30,21302,2016
343,TVS,160000,200,Mechi,15,35,50000,2018
344,Bajaj,135000,150,Bagmati,83,45,25000,2017
345,Honda,65000,100,Bagmati,33,55,410000,2009
346,KTM,195000,200,Gandaki,17,30,34589,2015
347,Bajaj,270000,200,3,110,30,18285,2019
348,TVS,208000,125,Bagmati,124,30,9800,2021
349,Bajaj,85000,150,Bagmati,52,35,26000,2015
350,Royal Enfield,505000,350,Bagmati,123,35,9237,2021
351,Bajaj,300000,200,Bagmati,131,35,8000,2021
352,Aprilia,255000,125,Bagmati,36,32,1000,2022
353,Honda,490000,250,Bagmati,42,35,45000,2008
354,Bajaj,90000,220,Bheri,5,34,76000,2014
355,KTM,530000,250,Bagmati,19,30,22000,2020
356,KTM,360000,250,Bagmati,101,30,17650,2018
357,Royal Enfield,475000,350,Bagmati,118,35,13500,2020
358,Honda,175000,110,Bagmati,114,35,2700,2020
359,Honda,185000,110,Bagmati,124,35,17000,2021
360,Honda,165000,110,Bagmati,104,40,21000,2016
361,Honda,110000,110,Janakpur,9,40,19000,2016
362,Royal Enfield,630000,350,Bagmati,34,37,6500,2022
363,Yamaha,230000,125,Bagmati,125,55,12000,2021
364,Yamaha,100000,250,Bagmati,88,35,21500,2017
365,Bajaj,335000,220,Koshi,49,37,5670,2022
366,Honda,190000,125,Bagmati,103,60,17000,2019
367,Yamaha,90000,150,Bagmati,63,35,22000,2014
368,Yamaha,108000,125,Bagmati,87,50,22000,2017
369,Motorhead,230000,250,Bagmati,108,25,26000,2019
370,Honda,50000,250,Bagmati,47,40,60000,2017
371,Hero,58000,150,Bagmati,48,45,36000,2011
372,TVS,235000,125,Bagmati,35,35,3000,2022
373,Bajaj,100000,125,Bagmati,98,50,31000,2018
374,Honda,80000,110,Bagmati,60,35,30000,2013
375,Bajaj,110000,150,Bagmati,76,35,23000,2016
376,Bajaj,219000,200,Bagmati,116,30,20000,2020
377,Royal Enfield,560000,350,Bagmati,130,28,11000,2021
378,Yamaha,289000,155,Bagmati,107,55,17000,2019
379,Bajaj,155000,220,Bagmati,92,45,26000,2017
380,Yamaha,185000,125,Bagmati,122,58,6000,2021
381,Yamaha,60000,110,Bagmati,59,45,50000,2014
382,Yamaha,85000,150,Bagmati,59,45,20000,2013
383,Yamaha,90000,110,Bagmati,75,40,30000,2016
384,Honda,87000,110,Bagmati,62,40,28000,2014
385,Hero,48000,110,Bagmati,42,40,28000,2011
386,TVS,159000,200,Bagmati,102,40,20000,2018
387,Bajaj,199000,220,Bagmati,109,40,20000,2019
388,TVS,175000,160,Bagmati,118,40,30000,2020
389,Yamaha,288000,150,Bagmati,130,55,5000,2021
390,Bajaj,263000,200,Bagmati,123,40,18000,2021
391,Royal Enfield,290000,350,Bagmati,76,30,18000,2016
392,KTM,445000,200,Bagmati,119,30,13000,2020
393,Yamaha,200000,250,Bagmati,102,28,14000,2017
394,Yamaha,195000,125,Bagmati,121,45,8800,2021
395,Yamaha,93500,150,Bagmati,65,45,27560,2015
396,Yamaha,145000,150,Bagmati,86,45,18355,2017
397,Aprilia,235000,150,Bagmati,24,35,4010,2021
398,TVS,189000,125,Bagmati,20,40,13000,2020
399,Hero,268000,200,Bagmati,114,35,8900,2020
400,Honda,50000,135,Bagmati,35,45,43000,2013
401,Yamaha,59000,125,Bagmati,43,50,43000,2011
402,Bajaj,140000,150,Bagmati,87,40,43000,2017
403,Benelli,308000,300,Bagmati,74,28,43000,2016
404,TVS,69000,160,Bagmati,38,45,43000,2009
405,TVS,159000,125,Bagmati,116,30,11900,2020
406,TVS,220000,125,Bagmati,34,35,8000,2021
407,Bajaj,114000,220,Bagmati,62,30,8000,2014
408,Bajaj,149000,220,Bagmati,95,30,20400,2018
409,Yamaha,99900,110,Bagmati,97,30,12000,2018
410,Yamaha,125000,250,Bagmati,87,25,28000,2017
411,Honda,125000,150,Bagmati,68,45,16000,2015
412,Bajaj,135000,150,Bagmati,101,45,15000,2018
413,Honda,50000,110,Gandaki,6,35,19000,2011
414,Yamaha,65000,125,Bagmati,65,45,48000,2013
415,Yamaha,424999,155,Bagmati,25,50,1200,2021
416,Bajaj,55000,125,Bagmati,26,40,45000,2013
417,Honda,65000,150,Bagmati,47,55,50159,2011
418,Royal Enfield,275000,500,Bagmati,66,25,33000,2013
419,Bajaj,80000,220,Bagmati,61,30,33000,2010
420,Honda,100000,150,Bagmati,62,48,45000,2014
421,Honda,105000,150,Bagmati,62,45,42000,2015
422,Royal Enfield,475000,350,Bagmati,118,35,13500,2020
423,Bajaj,105000,150,Bagmati,55,45,32000,2016
424,Hero,90000,110,Bagmati,99,37,37000,2016
425,Honda,145000,125,Bagmati,105,45,32000,2016
426,Royal Enfield,570000,350,Bagmati,30,28,7000,2021
427,Bajaj,95000,200,Bagmati,63,35,24000,2014
428,Royal Enfield,330000,350,Bagmati,85,25,18000,2017
429,Honda,65000,125,Bagmati,36,50,36000,2009
430,Honda,90000,150,Bagmati,63,45,30000,2014
431,KTM,232000,200,Bagmati,76,35,25000,2016
432,Bajaj,135000,220,Bagmati,79,30,45000,2016
433,KTM,800000,250,Bagmati,128,35,2100,2021
434,Honda,180000,100,1,47,40,10000,2021
435,Bajaj,284999,200,Bagmati,124,40,9800,2021
436,Bajaj,65000,150,Bagmati,27,30,170000,2007
437,KTM,385000,250,Bagmati,97,35,32700,2018
438,Vespa,160000,125,Bagmati,86,25,3252,2016
439,TVS,190000,125,Bagmati,25,30,8500,2021
440,Bajaj,140000,150,Narayani,55,50,40000,2017
441,Aprilia,245000,150,Bagmati,55,30,1910,2021
442,Honda,60000,125,Bagmati,27,40,80000,2007
443,Honda,122000,160,Bagmati,79,38,24000,2016
444,Yamaha,234000,150,Bagmati,106,45,33000,2019
445,TVS,75000,180,Bagmati,53,40,27000,2013
446,Yamaha,190000,150,Koshi,37,45,27000,2019
447,Honda,157000,110,3,109,40,28000,2019
448,Bajaj,360000,200,Seti,109,40,5309,2021
449,Honda,139999,110,Bagmati,101,40,15000,2018
450,Bajaj,130000,125,Bagmati,116,55,15000,2020
451,Crossfire,490000,250,Bagmati,23,27,3500,2021
452,Yamaha,280000,155,Bagmati,102,40,32529,2018
453,Bajaj,168000,125,Bagmati,111,55,18000,2019
454,Bajaj,325000,220,Bagmati,136,40,4000,2022
455,Honda,190000,110,Bagmati,129,35,8300,2021
456,Royal Enfield,350000,350,Bagmati,77,30,8000,2015
457,Bajaj,250000,200,Bagmati,119,35,10000,2020
458,Royal Enfield,620000,350,Bagmati,135,30,2300,2022
459,Honda,95000,115,Bagmati,63,30,34000,2014
460,Benelli,510000,300,Bagmati,90,18,30000,2017
461,Vespa,185000,150,Bagmati,93,30,12000,2018
462,Bajaj,105000,150,Bagmati,80,35,12000,2016
463,Vespa,185000,150,Bagmati,93,30,12000,2018
464,Hero,315000,200,Bagmati,26,36,8500,2021
465,Vespa,185000,150,Bagmati,93,30,12000,2018
466,Royal Enfield,350000,350,Bagmati,81,30,24000,2018
467,Honda,115000,160,Bagmati,75,35,24000,2016
468,Bajaj,150000,150,Bagmati,85,45,32000,2017
469,Honda,160000,160,Bagmati,82,45,23000,2017
470,Hero,135000,125,Bagmati,120,60,8000,2020
471,Bajaj,420000,250,Bagmati,29,34,5600,2021
472,Benelli,315000,155,Bagmati,134,45,13000,2021
473,Royal Enfield,420000,350,Bagmati,75,35,16000,2016
474,Bajaj,140000,200,Bagmati,84,30,36000,2017
475,Yamaha,138000,125,Bagmati,106,55,36000,2019
476,Bajaj,155000,220,Bagmati,91,30,20600,2017
477,Yamaha,200000,125,Bagmati,122,40,10000,2021
478,Crossfire,250000,250,Bagmati,81,15,20000,2016
479,Yamaha,199999,125,Bagmati,121,58,20000,2020
480,Royal Enfield,320000,350,Narayani,37,30,30233,2015
481,Suzuki,260000,250,Bagmati,11,30,22000,2019
482,Royal Enfield,325000,350,Bagmati,80,30,22500,2016
483,Crossfire,480000,250,Bagmati,102,25,10000,2019
484,Yamaha,118000,110,Bagmati,107,40,15000,2019
485,Suzuki,158000,125,Bagmati,114,40,9000,2019
486,Yamaha,357000,150,Bagmati,114,30,7800,2021
487,Yamaha,285000,150,Bagmati,130,50,5000,2021
488,Aprilia,210000,150,Bagmati,19,30,3500,2020
489,Bajaj,350000,200,Bagmati,36,35,7500,2021
490,Royal Enfield,320000,350,Narayani,37,30,30000,2015
491,Yamaha,160000,150,Bagmati,78,40,25555,2017
492,Bajaj,390000,390,Bagmati,125,25,15000,2021
